,time,load_kw,pressure_kpa,cloud_cover_pct,temperature_c,wind_direction_deg,wind_speed_kmh
69,2021-02-04 05:00:00,982085.93,1010.58,35.5,6.16,18.0,5.5
70,2021-02-04 06:00:00,999234.43,1011.3,47.25,5.94,60.75,3.97
71,2021-02-04 07:00:00,1049556.43,1012.1,52.0,6.52,79.25,2.6
72,2021-02-04 08:00:00,1125951.93,1012.85,51.75,7.95,93.75,1.25
73,2021-02-04 09:00:00,1197955.43,1013.48,49.5,11.43,112.75,6.89
74,2021-02-04 10:00:00,1245229.93,1013.78,39.0,16.76,96.0,7.08
75,2021-02-04 11:00:00,1265610.43,1013.5,32.5,21.03,123.0,9.29
76,2021-02-04 12:00:00,1265746.43,1012.58,39.75,22.63,249.0,10.59
77,2021-02-04 13:00:00,1250161.43,1011.45,23.5,22.56,291.25,15.8
78,2021-02-04 14:00:00,1250418.93,1010.6,28.5,20.52,249.0,19.84
79,2021-02-04 15:00:00,1245796.43,1010.33,29.75,18.4,239.75,14.16
80,2021-02-04 16:00:00,1242635.93,1010.15,15.5,17.31,328.75,12.29
81,2021-02-04 17:00:00,1228213.93,1010.85,21.25,18.2,244.75,11.31
82,2021-02-04 18:00:00,1197954.93,1011.63,48.0,16.13,274.0,11.92
83,2021-02-04 19:00:00,1165815.43,1012.65,43.25,13.6,321.75,13.44
84,2021-02-04 20:00:00,1128493.93,1013.33,20.0,13.21,48.75,11.01
85,2021-02-04 21:00:00,1089978.43,1013.7,65.0,11.59,112.25,15.19
86,2021-02-04 22:00:00,1057077.93,1013.9,56.5,7.19,105.5,13.05
87,2021-02-04 23:00:00,1032371.43,1013.65,74.75,5.48,99.75,8.78
88,2021-02-05 00:00:00,1009537.93,1013.18,95.5,6.34,118.0,9.16
89,2021-02-05 01:00:00,994029.93,1012.58,85.0,7.77,60.0,6.62
90,2021-02-05 02:00:00,984213.43,1012.43,80.5,7.7,86.0,10.46
91,2021-02-05 03:00:00,979280.93,1012.4,51.25,6.2,98.5,10.43
92,2021-02-05 04:00:00,979897.43,1012.45,45.0,6.02,91.75,11.03
93,2021-02-05 05:00:00,985937.93,1012.68,43.5,4.98,73.0,9.1
94,2021-02-05 06:00:00,1004688.93,1013.15,40.75,6.29,46.0,11.95
95,2021-02-05 07:00:00,1040245.43,1014.23,47.75,6.9,42.0,10.76
96,2021-02-05 08:00:00,1107051.93,1015.18,49.25,8.42,94.5,8.78
97,2021-02-05 09:00:00,1178000.43,1015.65,40.0,12.21,223.25,12.08
98,2021-02-05 10:00:00,1225819.93,1016.1,39.0,15.5,97.5,14.34
99,2021-02-05 11:00:00,1244762.93,1015.78,22.0,20.38,103.5,12.31
100,2021-02-05 12:00:00,1242445.43,1014.9,21.5,20.85,115.0,14.97
101,2021-02-05 13:00:00,1230219.93,1013.73,29.75,23.37,83.5,11.09
102,2021-02-05 14:00:00,1235487.93,1012.55,39.0,24.13,180.25,11.69
103,2021-02-05 15:00:00,1231953.93,1012.28,44.75,21.37,328.0,5.43
104,2021-02-05 16:00:00,1224109.93,1012.45,40.0,19.5,286.0,17.15
105,2021-02-05 17:00:00,1205087.93,1012.78,42.75,17.77,304.5,19.91
106,2021-02-05 18:00:00,1182571.43,1013.4,50.0,16.08,336.75,16.79
107,2021-02-05 19:00:00,1156836.93,1014.3,45.5,14.66,175.5,8.96
108,2021-02-05 20:00:00,1123510.93,1015.03,46.75,13.85,178.5,10.79
109,2021-02-05 21:00:00,1095426.43,1015.2,42.75,13.3,9.25,8.91
110,2021-02-05 22:00:00,1066034.93,1015.28,44.0,12.82,23.75,11.52
111,2021-02-05 23:00:00,1040010.93,1014.85,47.0,11.56,48.75,9.45
112,2021-02-06 00:00:00,1015695.43,1014.45,41.25,11.27,68.0,8.57
113,2021-02-06 01:00:00,998822.93,1013.8,37.0,9.68,91.75,13.86
114,2021-02-06 02:00:00,990007.43,1013.25,15.25,9.22,73.5,9.83
115,2021-02-06 03:00:00,981042.43,1012.98,17.75,7.74,94.25,11.85
116,2021-02-06 04:00:00,981269.93,1013.0,18.0,7.58,78.25,8.34
117,2021-02-06 05:00:00,986373.43,1013.08,14.75,6.09,55.0,6.9
118,2021-02-06 06:00:00,994154.93,1013.7,7.75,4.78,59.75,3.79
119,2021-02-06 07:00:00,1025962.43,1014.53,13.0,6.69,72.5,14.19
120,2021-02-06 08:00:00,1074243.93,1015.45,12.25,10.44,61.5,11.11
121,2021-02-06 09:00:00,1133327.93,1015.78,9.25,13.15,107.75,7.25
122,2021-02-06 10:00:00,1173720.93,1015.95,7.0,17.27,121.0,10.7
123,2021-02-06 11:00:00,1186714.93,1015.6,5.25,21.42,96.0,21.65
124,2021-02-06 12:00:00,1181250.93,1014.78,1.75,22.33,87.0,15.9
125,2021-02-06 13:00:00,1170071.43,1013.45,9.5,23.58,72.0,14.02
126,2021-02-06 14:00:00,1169909.93,1012.33,18.25,24.21,83.25,18.86
127,2021-02-06 15:00:00,1166637.93,1011.75,44.5,23.58,79.75,21.63
128,2021-02-06 16:00:00,1159977.93,1011.65,44.5,23.06,241.75,15.47
129,2021-02-06 17:00:00,1146372.43,1012.03,42.5,20.95,297.75,19.54
130,2021-02-06 18:00:00,1145946.93,1012.28,29.25,16.85,314.0,18.49
131,2021-02-06 19:00:00,1131277.43,1012.83,43.75,15.78,336.5,14.21
132,2021-02-06 20:00:00,1106400.43,1013.48,21.25,14.16,343.25,18.67
133,2021-02-06 21:00:00,1081677.93,1013.98,23.25,14.07,350.5,13.17
134,2021-02-06 22:00:00,1052514.43,1013.8,22.25,13.58,267.5,9.84
135,2021-02-06 23:00:00,1037411.43,1013.78,25.25,12.35,46.75,4.38
136,2021-02-07 00:00:00,1014123.93,1013.5,33.25,9.03,23.0,11.47
137,2021-02-07 01:00:00,997761.93,1012.85,34.0,9.09,28.75,10.52
138,2021-02-07 02:00:00,985700.43,1012.38,23.0,8.59,32.5,10.56
139,2021-02-07 03:00:00,978381.93,1012.1,16.25,12.65,43.5,12.81
140,2021-02-07 04:00:00,975305.43,1012.05,17.75,12.13,56.75,11.22
141,2021-02-07 05:00:00,976049.43,1012.43,11.5,10.75,62.25,9.55
142,2021-02-07 06:00:00,982619.43,1013.18,17.75,10.81,48.75,11.42
143,2021-02-07 07:00:00,984953.93,1014.08,20.25,8.58,64.75,12.34
144,2021-02-07 08:00:00,1005803.93,1014.85,15.5,10.5,72.5,9.55
145,2021-02-07 09:00:00,1036214.43,1015.55,14.5,16.26,83.5,9.79
146,2021-02-07 10:00:00,1060952.43,1015.9,11.75,20.56,79.5,11.5
147,2021-02-07 11:00:00,1073723.43,1015.38,9.0,24.41,94.0,11.18
148,2021-02-07 12:00:00,1074266.93,1014.13,1.5,25.48,98.25,13.54
149,2021-02-07 13:00:00,1069491.93,1012.75,6.25,27.05,145.25,13.69
150,2021-02-07 14:00:00,1069147.43,1011.63,11.75,28.26,60.75,13.1
151,2021-02-07 15:00:00,1063563.43,1010.98,44.5,27.47,164.0,12.88
152,2021-02-07 16:00:00,1061133.43,1010.75,45.25,25.35,258.5,15.92
153,2021-02-07 17:00:00,1058402.43,1010.9,42.75,21.21,301.0,17.09
154,2021-02-07 18:00:00,1071247.43,1011.58,33.75,21.24,314.0,12.99
155,2021-02-07 19:00:00,1078909.93,1012.23,21.0,17.83,339.75,18.49
156,2021-02-07 20:00:00,1068707.43,1012.98,16.0,17.83,354.25,15.99
157,2021-02-07 21:00:00,1051071.43,1013.63,15.75,17.64,24.5,11.26
158,2021-02-07 22:00:00,1028825.43,1013.8,12.75,17.1,97.0,11.46
159,2021-02-07 23:00:00,1010726.93,1013.68,8.5,15.49,351.0,11.29
160,2021-02-08 00:00:00,998331.93,1013.53,1.0,13.74,24.75,3.44
161,2021-02-08 01:00:00,982958.43,1013.23,18.0,11.99,49.0,2.71
162,2021-02-08 02:00:00,973189.93,1012.68,10.5,13.09,80.75,8.33
163,2021-02-08 03:00:00,967964.43,1012.45,14.5,11.48,52.5,3.16
164,2021-02-08 04:00:00,970004.93,1012.4,27.75,11.29,88.75,6.69
165,2021-02-08 05:00:00,975939.43,1012.5,26.5,11.18,113.25,2.49
166,2021-02-08 06:00:00,996405.93,1013.23,27.75,10.13,66.0,3.67
167,2021-02-08 07:00:00,1052644.93,1014.25,22.5,10.73,56.0,4.39
168,2021-02-08 08:00:00,,1014.0,7.0,17.72,105.0,6.0
169,2021-02-08 09:00:00,,1015.0,5.0,17.72,127.0,6.0
170,2021-02-08 10:00:00,,1015.0,5.0,19.72,152.0,7.0
171,2021-02-08 11:00:00,,1014.0,5.0,19.72,176.0,8.0
172,2021-02-08 12:00:00,,1014.0,5.0,21.72,200.0,9.0
173,2021-02-08 13:00:00,,1013.0,6.0,21.72,225.0,12.0
174,2021-02-08 14:00:00,,1012.0,6.0,19.72,250.0,15.0
175,2021-02-08 15:00:00,,1011.0,7.0,19.72,275.0,18.0
176,2021-02-08 16:00:00,,1011.0,8.0,19.72,288.0,17.0
177,2021-02-08 17:00:00,,1011.0,8.0,17.72,300.0,16.0
178,2021-02-08 18:00:00,,1011.0,8.0,17.72,313.0,15.0
179,2021-02-08 19:00:00,,1012.0,8.0,17.72,286.0,14.0
180,2021-02-08 20:00:00,,1012.0,8.0,17.72,258.0,12.0
181,2021-02-08 21:00:00,,1013.0,7.0,15.72,231.0,11.0
182,2021-02-08 22:00:00,,1013.0,8.0,15.72,162.0,10.0
183,2021-02-08 23:00:00,,1013.0,8.0,15.72,94.0,10.0
184,2021-02-09 00:00:00,,1013.0,9.0,15.72,25.0,9.0
185,2021-02-09 01:00:00,,1012.0,9.0,15.72,25.0,9.0
186,2021-02-09 02:00:00,,1012.0,10.0,13.72,26.0,10.0
187,2021-02-09 03:00:00,,1011.0,10.0,13.72,26.0,10.0
188,2021-02-09 04:00:00,,1011.0,9.0,13.72,23.0,11.0
189,2021-02-09 05:00:00,,1012.0,8.0,13.72,21.0,12.0
190,2021-02-09 06:00:00,,1012.0,8.0,13.72,18.0,13.0
191,2021-02-09 07:00:00,,1012.0,7.0,13.72,63.0,10.0
192,2021-02-09 08:00:00,,1013.0,5.0,15.72,109.0,8.0
193,2021-02-09 09:00:00,,1014.0,4.0,17.72,154.0,5.0
194,2021-02-09 10:00:00,,1013.0,4.0,19.72,217.0,6.0
195,2021-02-09 11:00:00,,1013.0,3.0,21.72,280.0,6.0
196,2021-02-09 12:00:00,,1012.0,3.0,21.72,343.0,7.0
197,2021-02-09 13:00:00,,1011.0,3.0,21.72,332.0,10.0
198,2021-02-09 14:00:00,,1010.0,3.0,21.72,322.0,14.0
199,2021-02-09 15:00:00,,1010.0,3.0,21.72,311.0,17.0
200,2021-02-09 16:00:00,,1009.0,4.0,19.72,313.0,16.0
201,2021-02-09 17:00:00,,1009.0,4.0,17.72,316.0,15.0
202,2021-02-09 18:00:00,,1009.0,5.0,17.72,318.0,14.0
203,2021-02-09 19:00:00,,1010.0,6.0,13.72,324.0,12.0
204,2021-02-09 20:00:00,,1010.0,7.0,11.72,329.0,10.0
205,2021-02-09 21:00:00,,1011.0,8.0,9.72,334.0,8.0
206,2021-02-09 22:00:00,,1011.0,7.0,9.72,264.0,8.0
207,2021-02-09 23:00:00,,1012.0,6.0,9.72,194.0,7.0
208,2021-02-10 00:00:00,,1012.0,5.0,9.72,123.0,7.0
209,2021-02-10 01:00:00,,1012.0,4.0,11.72,197.0,9.0
210,2021-02-10 02:00:00,,1011.0,4.0,13.72,270.0,11.0
211,2021-02-10 03:00:00,,1011.0,4.0,15.72,344.0,13.0
212,2021-02-10 04:00:00,,1011.0,4.0,15.72,311.0,13.0
213,2021-02-10 05:00:00,,1011.0,4.0,15.72,278.0,12.0
214,2021-02-10 06:00:00,,1011.0,4.0,13.72,245.0,12.0
215,2021-02-10 07:00:00,,1012.0,4.0,15.72,205.0,12.0
